id,gold,gold_multi,pred,text,votes,top_votes,K,confidence,correct
242,OfficeHolder,OfficeHolder,OfficeHolder,Thomas S. Bocock.  Thomas Stanley Bocock (May 18 1815 – August 5 1891) was a nineteenth-century politician and lawyer from Virginia. After serving as an antebellum United States Congressman he was the Speaker of the Confederate States House of Representatives during most of the American Civil War.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 5, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
243,MeanOfTransportation,MeanOfTransportation,Company,USS Wright (AV-1).  USS Wright (AZ-1/AV-1) was a one-of-a-kind auxiliary ship in the United States Navy named for aviation pioneer Orville Wright.,"{""Company"": 2, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 2, ""MeanOfTransportation"": 0, ""Building"": 1, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",2,5,0.4,0
244,WrittenWork,WrittenWork,WrittenWork,A Treatise on Money.  A Treatise on Money is a work on economics by English economist John Maynard Keynes. In the Treatise Keynes drew a distinction between savings and investment arguing that where saving exceeded investment recession would occur. Thus Keynes reasoned that during a depression the best course of action would be to promote spending and to discourage saving.,"{""Company"": 1, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 4}",4,5,0.8,1
245,Company,Company,Company,Asian Institute of Finance.  Asian Institute of Finance or AIF for short is a non-profit organisation focused on human capital development in the Financial Services Industry (FSI). The institute is located at KL Sentral Kuala Lumpur Malaysia.,"{""Company"": 3, ""EducationalInstitution"": 2, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",3,5,0.6,1
246,Album,Album,Album,Slush (album).  Slush is the 1997 debut album by OP8 a band formed from Lisa Germano Howe Gelb of Giant Sand and Joey Burns and John Convertino of Calexico and Giant Sand. The album was released on Thirsty Ear and features covers of Sand by Nancy Sinatra and Lee Hazlewood as well as Round and Round by Neil Young. Its generally mainstream jazz-inflected songwriting is at times counterbalanced by odd sonic details including detuned melodic fragments and synthetic noises.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 5, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
247,OfficeHolder,OfficeHolder,OfficeHolder,Aníbal José Torres.  Aníbal José Jossie Torres is a Puerto Rican politician affiliated to the Popular Democratic Party (PPD). Torres has served in several positions of leadership within his party. He served as Secretary of the party during the 2000s before being appointed as Puerto Rico Chief of Staff by elected Governor Aníbal Acevedo Vilá in 2005. After serving four years he returned to his position as Secretary of the PPD before deciding to run for the Senate of Puerto Rico at the 2012 general elections.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 5, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
248,NaturalPlace,NaturalPlace,Building,Santa Fe Baldy.  Santa Fe Baldy is a prominent summit in the Sangre de Cristo Mountains of New Mexico United States located 15 mi (24 km) northeast of Santa Fe. There are no higher mountains in New Mexico south of Santa Fe Baldy. It is prominent as seen from Los Alamos and communities along the Rio Grande in northern New Mexico but is relatively inconspicuous from Santa Fe as its north-south trending main ridge line is seen nearly end-on disguising the size of the mountain.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 5, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,0
249,Company,Company,Company,Canada West Airlines.  Canada West Airlines was an airline based in Canada. It ceased operations in 2004.,"{""Company"": 4, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 1, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",4,5,0.8,1
250,Building,Building,Village,Kađenica.  The Smoke Cave or Kađenica is a cave-church located in the village of Dljina near Čačak on the right bank of the Zapadna Morava one kilometre upstream from Ovčar Banja Serbia.During the Hadži Prodan's revolt in 1814 people found refuge in the cave. Turks discovered their hiding place and using straw and woods set it on fire suffocating everyone inside. This incident also gave the name to the cave. In 1936 the remains were retrieved fully cremated and buried in two stone sarcophaguses.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 1, ""NaturalPlace"": 0, ""Village"": 4, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",4,5,0.8,0
251,Plant,Plant,NaturalPlace,Pothoidium.  Pothoidium is a monotypic genus of flowering plants in the Araceae family. The single species that comprises the genus is Pothoidium lobbianum. This species is endemic to the Moluccas Sulawesi the Philippines and Taiwan.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 5, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,0
252,Album,Album,Album,Royal Festival Hall Vol. 1.  Royal Festival Hall Vol. 1 is the twenty-fourth album by Klaus Schulze. It was originally released in 1992. This is the third of seven early-1990s Klaus Schulze albums not to be reissued by Revisited Records.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 5, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
253,Athlete,Athlete,Athlete,Cao Tianbao.  Cao Tianbao (Chinese: 曹添堡; pinyin: Cáo Tiānbǎo; born 3 April 1982 in Shenyang) is a Chinese football striker who currently plays for Changchun Yatai in the Chinese Super League Primarily plays in the position of second striker.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 5, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
254,Film,Film,Film,The Dancing Masters.  The Dancing Masters is a 1943 Laurel and Hardy feature film. The plot involves the team running a ballet school and getting involved with an inventor. A young Robert Mitchum has an uncredited cameo role as a fraudulent insurance salesman.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 5, ""WrittenWork"": 0}",5,5,1.0,1
255,Building,Building,Building,San Pietro alla Magione.  San Pietro alla Magione is an ancient church on Via Camollia in Siena Italy.Documents attest to a church at the site since 998. It is built in stone and preceded by a stairs and a Romanesque bell portal. The austere interior was restored in 1957 and contains a Gothic tabernacle from the second half of the 14th century a Madonna with Saints John the Baptist and Peter by Diego Pesco fragments of frescoes (Cruxifixion and Biblical Stories) by Cristoforo di Bindoccio and Meo di Pero.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 5, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
256,Building,Building,Building,Elk Hill (Forest Virginia).  Elk Hill is a historic plantation home located near Forest Bedford County Virginia. It was built about 1797 and consists of a 2 1/2-story three bay brick central section with flanking wings in the Federal style. It has a slate gable roof and a front porch added in 1928 when restored by the architect Preston Craighill. The main block has twin brick exterior chimneys.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 5, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
257,Album,Album,Company,Just a Taste.  Just a Taste is a four track EP from rock band Steelheart. Released in late 2006 it's literally a taste of music to be heard from the following album Good 2b Alive released on September 15 2008 although the EP had its own supporting tour.Although the EP is now available for purchase via the Steelheart online store the tracks are available separately as digital downloads.,"{""Company"": 5, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,0
258,Plant,Plant,Plant,Simira.  Simira is a genus of plant in family Rubiaceae. It contains the following species (which list may be incomplete): Simira standleyi (Little)Steyerm. Simira wurdackii Steyerm.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 5, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
259,Film,Film,Company,The Compulsory Husband.  The Compulsory Husband is a 1930 British comedy film directed by Monty Banks and starring Banks Lillian Manton and Clifford Heatherley. It was based on a novel by John Glyder.,"{""Company"": 3, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 2, ""WrittenWork"": 0}",3,5,0.6,0
260,Plant,Plant,EducationalInstitution,Salvia 'Jean's Purple Passion'.  Salvia 'Jean's Purple Passion' is a Salvia cultivar discovered at Cabrillo College in Aptos California. It was found growing between Salvia gesneriflora 'Tequila' and Salvia mexicana who are presumed to be its parents. It is named for Jean Coria a gardening enthusiast who propagated many species in the genus Salvia for many years at Strybing Arboretum.It has large vibrant violet flowers and grows 6 ft (1.8 m) or more in height.,"{""Company"": 1, ""EducationalInstitution"": 2, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 2, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",2,5,0.4,0
261,NaturalPlace,NaturalPlace,NaturalPlace,Briar Lake.  Briar Lake is a lake of Clare municipality in Nova Scotia Canada.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 2, ""NaturalPlace"": 3, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",3,5,0.6,1
262,Animal,Animal,Animal,Ciconiiformes.  Traditionally the order Ciconiiformes has included a variety of large long-legged wading birds with large bills: storks herons egrets ibises spoonbills and several others. Ciconiiformes are known from the Late Eocene. At present the only family retained in the order is the storks Ciconiidae.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 5, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
263,Film,Film,Film,The Favorite.  For the opera by Donizetti see La favorite. For the stadium in Palermo Italy see La Favorita. For the Canadian early music ensemble see La Favoritte. For the Brazilian soap opera see A Favorita.The Favorite (also titled Intimate Power) is a 1989 film based on the fictional life story of Aimée du Buc de Rivéry that takes place at the dawn of the 19th century. It is the final film of director Jack Smight.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 1, ""Film"": 4, ""WrittenWork"": 0}",4,5,0.8,1
264,Artist,Artist,Company,Stephen Gregory (author).  Stephen Gregory is a Welsh author of horror fiction. He was born in Derby England in 1952. He has a degree in law from the University of London and has worked as a teacher in various places including Bangor in Wales Algiers in Algeria and the Sudan. Gregory lived in Hollywood California for a time where he worked as a script writer with William Friedkin at Paramount Pictures.,"{""Company"": 1, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,5,0.2,0
265,Artist,Artist,Artist,John Straley.  John Straley is a poet and author of detective fiction. He currently resides in Sitka Alaska.,"{""Company"": 1, ""EducationalInstitution"": 0, ""Artist"": 2, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",2,5,0.4,1
266,EducationalInstitution,EducationalInstitution,EducationalInstitution,Centro de Enseñanza Técnica y Superior.  The Centro de Enseñanza Técnica y Superior (CETYS) is a Mexican private university commonly referred to as CETYS Universidad.This institution was founded on February 17 1961 with Fernando Macías Rendón as first president in Mexicali Baja California. It originally opened with only a high school program where the first student registered was Eugenio Lagarde Camerón and courses started on September 20.,"{""Company"": 0, ""EducationalInstitution"": 5, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
267,Building,Building,Building,David Bachrach House.  The David Bachrach House also known as Gertrude Stein House is a historic home located at Baltimore Maryland United States. It is a late 19th-century Victorian style frame structure consisting of two stories plus a mansard roof in height. It was constructed about 1886 and occupied by David Bachrach (1845-1921) a commercial photographer who figures prominently in the annals of American photographic history.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 5, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
268,Album,Album,Album,Blue Light 'til Dawn.  Blue Light 'til Dawn is a studio album by American jazz singer Cassandra Wilson. Her first album on the Blue Note label it was released in 1993. It contains Wilson's interpretations of songs by various blues and rock artists as well as three original compositions.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 5, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
269,Film,Film,Film,Ammai Duwai.  Ammai Duwai is a 1984 Sri Lankan film directed by Mu. Arukgoda.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 5, ""WrittenWork"": 0}",5,5,1.0,1
270,Company,Company,Company,SwoonXO.  SwoonXO is a dating website and Facebook Application that incorporates live interactive environments for users to meet in real time. SwoonXO is privately held company based in San Francisco California.SwoonXO's dating website features are free but it's live interactive component is accessed by purchasing credits on the site.,"{""Company"": 5, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
271,Building,Building,Building,All Saints Cathedral Halifax.  All Saints Cathedral is the cathedral church of the Anglican Church of Canada in Halifax Nova Scotia.It is the cathedral for the Diocese of Nova Scotia and Prince Edward Island. There is an additional cathedral St. Peter's in Charlottetown Prince Edward Island owing to the diocese unusually containing two civil provinces.All Saints is located on Martello Street (formerly Tower Road) in the South End of the Halifax Peninsula.,"{""Company"": 1, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 4, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",4,5,0.8,1
272,EducationalInstitution,EducationalInstitution,EducationalInstitution,Alabama School of Mathematics and Science.  The Alabama School of Mathematics and Science (ASMS) is a public residential high school in the Midtown neighborhood of Mobile Alabama. ASMS is a member of the National Consortium for Specialized Secondary Schools of Mathematics Science and Technology. It graduated its first class in 1993.The school was founded in 1989 as a unique public-private partnership.,"{""Company"": 0, ""EducationalInstitution"": 5, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
273,MeanOfTransportation,MeanOfTransportation,Company,LIPNUR Kunang.  The LIPNUR Kunang was a single-seat sports plane built in Indonesia that first flew in 1958 in the hope that it would inspire interest in aviation amongst Indonesian youth. The only example that was built was subsequently grounded. It was a single-seat monoplane of conventional layout with fixed tailwheel undercarriage.,"{""Company"": 3, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 2, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",3,5,0.6,0
274,Building,Building,Building,All Saints Church Thornton Hough.  All Saints Church Thornton Hough is in Raby Road Thornton Hough Wirral Merseyside England. It is an active Anglican parish church in the Deanery of Wirral South the archdeaconry of Chester and the diocese of Chester. The church is designated by English Heritage as a Grade II listed building.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 5, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
275,Album,Album,Album,Coming Up (album).  Coming Up is the third album by English alternative rock band Suede released in September 1996 on Nude Records. It was the band's first album since the departure of guitarist Bernard Butler who was replaced by Richard Oakes. Also added to the band was keyboardist Neil Codling. The album was nominated for the 1997 Mercury Prize. A commercial and critical success Coming Up was the album that introduced Suede to a worldwide audience in places such as Europe Canada and Asia.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 5, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
276,EducationalInstitution,EducationalInstitution,EducationalInstitution,Lake Brantley High School.  Lake Brantley High School (LBHS) is located in Altamonte Springs in the U.S. state of Florida an urban community approximately 13 miles (20 km) north of Orlando. It is a public high school serving grade levels 9–12 in Seminole County FL operated by Seminole County Public Schools. The school which opened in 1972 ranked 79th on Newsweek magazine's 2005 list of the top 100 high schools in the United States and 424th in the 2009 Newsweek list.,"{""Company"": 0, ""EducationalInstitution"": 3, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",3,5,0.6,1
277,Artist,Artist,Artist,Pedro Déniz.  Pedro J. Déniz Acosta (Santa Brígida Las Palmas de Gran Canaria Canary Islands Spain 1964) is an interdisciplinary artist who has developed art projects and experiences ranging from the objectual art to installation art from art photography to video art cultivating art intervention performance art visual poetry and graphic design.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 5, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
278,Company,Company,Company,Turkish Bank.  Turkish Bank Group is a Banking corporation established during 1901 as the Nicosia Savings Box in Cyprus assisted businesses by providing capital and financial support for local tradesmen. Supervised by the custodian Hacı İbrahim Efendi and led by an established businessman of the area Mufti Hafiz Ziyai Efendi.By 1925 it had been turned into a savings bank and by 1974 (as Türk Bankası Ltd./Turkish Bank Ltd.) established branches in London.,"{""Company"": 5, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
279,Artist,Artist,Company,Doug McCombs.  Douglas McCombs (born in 1962 in Peoria Illinois) plays bass and guitar with the instrumental rock band Tortoise and leads the instrumental band Brokeback. He is also the longtime bassist for the rock band Eleventh Dream Day. In 1997 he formed Pullman with Bundy K. Brown Chris Brokaw and Curtis Harvey with whom he released two albums.,"{""Company"": 3, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",3,5,0.6,0
280,NaturalPlace,NaturalPlace,NaturalPlace,Tomaș River.  The Tomaș River is a tributary of the Valea Lungă River in Romania. The lower course of the river crosses the city of Săcele where it is channelized.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 1, ""NaturalPlace"": 4, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",4,5,0.8,1
281,Building,Building,Building,Henan Museum.  The Henan Museum or Henan Provincial Museum (Chinese: 河南博物院; Pinyin: Hénán Bówùyuàn) located in Zhengzhou Henan Province China is a history and art museum. It has a collection of more than 130000 pieces of cultural relics through the ages. In addition to its collection of human history the museum is also home to many relics of natural history including dinosaur bones and fossils.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 1, ""MeanOfTransportation"": 0, ""Building"": 4, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",4,5,0.8,1
282,OfficeHolder,OfficeHolder,OfficeHolder,Don Meredith (politician).  Don Meredith (born July 13 1964) is an ordained minister in Canada executive director of the GTA Faith Alliance which focuses on the issue of youth violence particularly involving gangs and guns and a member of the Canadian Senate. The GTA Faith Alliance has organized peace rallies in the Malvern and Rexdale communities of Toronto following incidents of violence as well as organizing town hall meetings on related community issues.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 5, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
283,Company,Company,Company,Tofutti.  Tofutti Brands Inc. is a US company founded by New York restaurateur David Mintz that makes a range of soy-based dairy-free foods. Best known for ice cream substitute Tofutti targets some niches such as the lactose-intolerant kosher food allergy sensitive vegetarian and vegan markets. In Canada Tofutti-Cholac Foods has distributed Tofutti products to Canadian supermarkets grocers and health food stores since the late 1980s.,"{""Company"": 5, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
284,Village,Village,Village,Melauli.  Melauli is a village development committee in Baitadi District in the Mahakali Zone of western Nepal. At the time of the 1991 Nepal census it had a population of 3391 and had 595 houses in the town.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 5, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
285,Athlete,Athlete,Athlete,Regina Halmich.  Regina Halmich (born 22 November 1976) is a female boxer from Germany. Halmich is among the most successful female boxers of all time and helped popularise female boxing in Europe.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 5, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
286,Company,Company,Company,Dwango (company).  Dwango Co. Ltd (株式会社ドワンゴ) (TYO: 3715) is a telecommunications and media company based in Japan headed by Nobuo Kawakami. Its subsidiaries include Niwango which runs the popular Japanese video sharing site Nico Nico Douga. The company was spun off from a U.S.-based service offering online multiplayer for video games DWANGO which was shut down in 1998. Majority shareholders include Kawakami himself Kadokawa Group Holdings and Avex Group.,"{""Company"": 5, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
